Gender,Height,Weight,Bust/Chest,Cup Size,Waist,Hips,Body Shape Index
Female,"5'1""",67,37,E,35,38,4
Male,"6'1""",85,40,,30,31,3
Male,"5'3""",77,44,,36,42,4
Male,"6'4""",74,38,,48,49,4
Male,"4'11""",47,35,,39,41,0
Female,"6'4""",97,37,E,28,34,0
Female,"5'9""",70,33,DD,23,23,0
Male,"6'4""",88,37,,48,49,3
Female,"5'1""",59,41,D,25,26,0
Male,"6'4""",110,48,,30,34,4
Male,"6'5""",110,40,,32,41,1
Male,"5'5""",64,41,,32,42,3
Female,"5'11""",92,42,DD,24,26,4
Female,"5'11""",77,46,AA,24,33,0
Female,"6'0""",77,46,AA,38,43,2
Female,"4'11""",45,30,C,30,30,4
Male,"5'8""",83,42,,31,37,2
Female,"5'4""",79,29,A,40,46,3
Male,"6'5""",85,31,,44,44,1
Female,"5'5""",70,41,E,41,46,1
Male,"5'4""",53,37,,32,34,3
Male,"5'6""",71,48,,35,37,0
Male,"6'5""",79,41,,42,46,1
Male,"6'1""",82,33,,42,50,1
Female,"5'9""",87,40,E,35,36,4
Female,"4'11""",45,35,D,36,46,1
Male,"6'1""",81,43,,40,40,3
Female,"5'9""",90,38,D,23,28,1
Female,"5'4""",54,33,E,33,36,4
Female,"6'6""",113,47,B,33,37,2
Female,"6'6""",117,29,E,25,25,3
Male,"5'8""",89,34,,35,35,3
Female,"5'1""",68,29,C,29,39,4
Male,"5'3""",76,40,,47,49,1
Male,"5'0""",45,43,,36,39,0
Female,"4'11""",52,41,C,28,37,1
Female,"6'2""",101,42,D,29,33,1
Male,"6'3""",94,50,,43,46,2
Male,"6'5""",78,38,,26,26,3
Female,"5'7""",61,45,C,41,48,1
Male,"6'5""",112,50,,31,40,3
Male,"6'2""",100,35,,32,41,1
Female,"4'11""",58,31,A,30,32,1
Female,"5'11""",60,43,C,30,34,3
Female,"6'6""",105,45,B,30,31,4
Male,"5'5""",51,35,,31,33,2
Male,"6'1""",72,46,,46,50,2
Male,"6'0""",93,31,,36,42,3
Male,"6'2""",89,31,,42,46,4
Female,"5'0""",55,43,C,35,44,3
Male,"5'4""",79,40,,30,39,4
Female,"5'8""",58,41,F,23,25,1
Female,"5'5""",60,33,A,27,29,3
Female,"5'9""",69,44,E,38,45,4
Male,"5'11""",72,32,,32,36,2
Male,"5'6""",76,36,,44,50,2
Female,"5'6""",80,34,F,33,35,3
Female,"6'4""",86,41,DD,25,27,2
Male,"6'4""",92,30,,39,49,0
Female,"5'3""",65,36,D,34,35,3
Male,"6'5""",101,48,,26,32,1
Male,"4'11""",53,31,,41,49,0
Female,"5'5""",55,34,A,39,47,3
Female,"6'3""",81,38,AA,23,24,1
Male,"6'0""",70,52,,34,41,2
Male,"5'4""",73,41,,34,43,0
Female,"5'7""",66,36,E,36,41,2
Male,"6'3""",81,39,,42,46,1
Female,"5'6""",67,33,E,40,40,4
Female,"5'5""",56,34,D,32,34,4
Male,"5'5""",63,50,,28,32,2
Male,"5'8""",83,43,,33,38,2
Female,"5'4""",60,41,F,40,50,1
Male,"6'1""",86,41,,43,48,0
Female,"6'6""",103,34,D,30,40,2
Male,"4'11""",67,52,,26,29,2
Male,"5'8""",68,45,,41,41,4
Male,"5'8""",55,32,,36,43,2
Male,"5'11""",96,51,,34,35,4
Male,"6'4""",84,49,,42,50,4
Female,"6'5""",73,35,B,38,39,3
Male,"5'7""",80,32,,27,37,4
Female,"4'11""",66,36,A,26,33,0
Female,"5'1""",71,37,DD,40,50,0
Female,"5'0""",45,38,DD,23,28,2
Male,"5'7""",65,35,,39,46,3
Female,"5'7""",64,32,AA,33,36,3
Female,"5'6""",72,28,F,36,42,1
Male,"5'11""",76,42,,48,49,4
Female,"5'10""",83,35,DD,22,22,3
Male,"5'9""",87,31,,48,50,2
Female,"5'10""",78,36,F,24,33,4
Female,"5'7""",77,31,C,42,46,2
Female,"6'1""",67,28,A,25,28,1
Female,"5'8""",70,29,D,32,35,2
Female,"6'6""",104,40,DD,34,44,0
Male,"6'5""",80,32,,40,50,0
Female,"6'2""",100,36,DD,39,40,4
Female,"5'2""",52,32,C,36,46,4
Female,"5'8""",84,31,A,35,37,2
Male,"5'3""",47,32,,36,41,1
Female,"6'0""",77,36,F,27,35,3
Female,"5'6""",73,48,D,42,42,4
Male,"6'4""",73,40,,31,31,1
Male,"5'4""",66,50,,42,42,2
Male,"5'0""",65,50,,37,45,0
Female,"5'9""",76,45,A,38,44,4
Female,"6'6""",118,39,A,36,39,2
Female,"5'6""",59,31,A,27,31,4
Male,"6'1""",65,31,,38,46,3
Female,"5'7""",56,34,AA,31,38,1
Female,"6'1""",79,37,AA,37,40,3
Female,"5'8""",71,48,F,24,30,4
Female,"5'3""",74,35,D,39,48,0
Male,"5'2""",64,44,,37,39,3
Female,"5'7""",54,42,B,35,36,4
Female,"5'4""",71,34,F,27,35,2
Female,"6'5""",72,43,AA,32,42,2
Female,"5'11""",64,38,F,29,33,2
Male,"5'6""",78,48,,29,31,2
Male,"6'3""",99,48,,43,48,2
Male,"6'4""",86,43,,44,45,4
Female,"6'1""",65,43,D,38,45,1
Male,"6'3""",90,36,,26,30,3
Female,"5'1""",49,43,A,36,44,4
Female,"5'3""",59,47,AA,30,34,4
Male,"5'5""",81,31,,37,42,1
Male,"5'2""",63,43,,28,31,3
Male,"5'3""",64,46,,32,38,1
Male,"5'5""",51,35,,32,32,0
Male,"5'11""",61,39,,36,41,4
Male,"5'7""",70,51,,31,37,3
Female,"5'10""",79,33,A,22,23,3
Female,"5'11""",93,36,E,37,43,1
Female,"5'6""",69,35,B,24,33,3
Female,"5'3""",76,28,B,30,32,1
Male,"6'3""",76,42,,27,36,1
Female,"6'1""",103,37,D,32,38,3
Female,"5'3""",65,43,D,40,49,2
Female,"5'10""",95,28,E,22,30,3
Female,"4'10""",41,31,C,30,38,0
Male,"5'2""",58,32,,39,43,2
Female,"4'11""",56,35,A,27,28,1
Male,"5'2""",66,35,,35,37,4
Female,"5'5""",78,46,AA,29,39,4
Female,"4'10""",41,36,F,33,37,3
Male,"6'4""",83,45,,36,45,1
Female,"5'9""",89,37,C,22,31,4
Male,"5'0""",62,43,,46,49,4
Male,"5'0""",43,41,,26,26,2
Female,"5'11""",85,46,F,41,45,3
Female,"5'10""",59,39,A,30,37,1
Male,"6'6""",87,44,,42,45,4
Male,"5'6""",82,33,,26,30,1
Female,"5'8""",62,28,DD,27,31,0
Female,"6'3""",106,48,E,39,43,1
Female,"4'10""",63,38,DD,39,48,1
Female,"6'2""",69,33,AA,32,41,1
Female,"6'1""",98,40,F,38,45,3
Female,"6'0""",92,31,DD,34,38,2
Male,"4'11""",45,39,,37,37,3
Female,"5'5""",51,40,DD,36,45,3
Female,"6'4""",81,43,AA,26,32,2
Female,"5'11""",79,46,DD,23,33,2
Male,"4'10""",59,47,,36,43,2
Male,"5'7""",68,34,,38,45,3
Male,"5'7""",74,40,,46,49,4
Female,"4'11""",48,38,A,38,47,2
Male,"5'6""",67,32,,41,49,4
Female,"5'6""",69,44,F,39,44,0
Female,"5'2""",64,40,C,30,31,2
Female,"5'7""",63,38,D,23,32,1
Female,"5'7""",69,41,AA,36,36,0
Male,"5'10""",78,52,,38,46,0
Female,"4'11""",66,40,B,24,27,4
Female,"5'6""",73,47,C,36,38,4
Female,"5'10""",90,33,A,39,49,2
Male,"5'1""",46,33,,39,44,3
Female,"5'9""",80,28,C,36,45,4
Male,"5'1""",66,38,,33,41,0
Male,"6'0""",86,37,,33,43,3
Male,"5'6""",63,46,,47,47,3
Male,"5'2""",71,45,,44,50,1
Female,"5'3""",54,34,D,23,25,0
Male,"4'10""",54,31,,34,43,4
Female,"5'10""",72,44,F,23,29,0
Female,"5'0""",57,43,DD,26,30,4
Male,"5'11""",74,46,,34,39,2
Female,"5'1""",60,28,D,33,33,4
Female,"5'10""",94,37,B,36,43,3
Male,"6'0""",93,48,,30,30,1
Female,"6'1""",75,33,F,31,39,3
Male,"5'6""",82,49,,34,34,4
Female,"5'6""",73,28,DD,39,46,1
Female,"5'5""",67,45,DD,35,41,4
Male,"5'0""",65,47,,35,39,2
Female,"5'0""",51,43,F,28,38,1
Male,"6'2""",96,49,,41,49,4
Male,"5'1""",60,35,,40,42,4
Female,"5'0""",56,33,DD,28,38,4
Female,"5'5""",56,40,AA,22,22,3
Male,"5'3""",48,46,,41,48,4
Female,"5'5""",52,33,AA,34,37,1
Male,"6'6""",79,50,,26,26,0
Female,"5'4""",57,32,DD,22,31,3
Male,"6'0""",98,50,,34,38,2
Female,"4'10""",50,28,AA,35,45,4
Female,"5'0""",54,44,B,40,48,3
Female,"5'0""",70,29,DD,35,40,1
Female,"6'5""",82,45,A,23,26,2
Female,"5'11""",84,32,B,41,43,0
Female,"5'3""",59,33,D,31,36,4
Male,"6'0""",79,32,,30,31,2
Male,"5'6""",55,37,,44,48,4
Male,"5'9""",72,32,,34,35,2
Male,"5'0""",62,47,,38,40,2
Male,"5'11""",96,34,,31,33,4
Male,"5'7""",60,43,,42,43,2
Female,"5'7""",70,35,B,22,22,2
Male,"6'3""",67,50,,41,50,2
Female,"5'5""",76,45,F,36,36,4
Male,"5'5""",58,35,,38,43,4
Female,"5'0""",52,35,C,23,25,4
Female,"5'0""",46,42,DD,37,37,4
Male,"5'2""",73,39,,48,50,1
Female,"5'2""",60,30,B,25,28,3
Female,"4'10""",56,33,D,39,39,2
Female,"5'1""",56,44,B,27,37,3
Male,"6'6""",82,50,,31,34,4
Male,"6'5""",101,42,,41,48,1
Female,"5'3""",65,41,D,35,41,2
Female,"6'6""",73,33,E,36,37,2
Female,"6'0""",93,30,DD,31,36,3
Male,"4'10""",58,41,,28,29,4
Female,"5'0""",57,40,A,22,26,1
Male,"5'1""",67,33,,31,32,3
Female,"5'5""",68,28,E,31,40,1
Female,"6'4""",111,42,D,36,40,3
Female,"6'2""",77,35,D,32,42,2
Male,"5'6""",55,35,,27,31,0
Male,"6'3""",89,43,,36,39,3
Male,"5'8""",55,42,,27,27,1
Male,"5'10""",87,41,,44,44,2
Female,"5'2""",71,42,B,39,49,1
Male,"5'6""",55,46,,41,46,4
Male,"4'10""",57,45,,34,37,2
Female,"5'8""",79,35,DD,37,46,1
Female,"5'1""",69,40,E,27,32,2
Male,"6'3""",68,41,,32,39,3
Female,"4'11""",61,29,C,33,43,2
Female,"5'1""",55,33,D,31,31,3
Female,"6'2""",78,37,AA,37,42,0
Female,"5'5""",77,44,F,26,33,3
Male,"5'5""",66,30,,30,39,1
Female,"5'4""",56,43,C,37,44,1
Male,"5'10""",60,42,,35,44,4
Male,"6'2""",85,39,,47,49,3
Female,"5'0""",55,34,A,26,27,4
Female,"6'4""",87,43,D,33,41,3
Female,"5'9""",85,29,B,38,45,0
Female,"5'11""",81,46,F,35,44,1
Male,"5'5""",60,32,,27,34,3
Female,"4'11""",42,39,C,35,38,0
Female,"6'6""",94,35,D,27,34,0
Male,"5'6""",56,42,,29,32,2
Male,"5'9""",86,40,,36,44,4
Male,"5'1""",60,40,,40,46,2
Female,"5'3""",66,45,B,22,22,0
Male,"6'2""",96,37,,48,48,0
Female,"6'4""",71,31,E,33,33,1
Male,"5'2""",71,49,,31,33,2
Female,"6'0""",78,45,DD,37,47,4
Male,"5'9""",69,32,,28,30,2
Female,"5'2""",56,44,A,25,28,1
Female,"6'6""",80,46,C,24,29,3
Female,"5'5""",74,40,C,28,38,3
Female,"6'3""",109,39,F,42,42,4
Male,"5'2""",68,31,,32,41,4
Male,"5'7""",86,42,,35,39,0
Female,"5'4""",72,39,E,32,39,3
Female,"6'1""",79,37,DD,32,33,4
Female,"5'7""",79,30,A,29,34,2
Male,"5'4""",57,31,,28,32,4
Female,"5'11""",64,32,E,33,42,0
Male,"6'5""",76,35,,28,38,0
Female,"5'4""",70,45,D,28,37,1
Female,"5'4""",51,33,AA,36,40,3
Female,"5'5""",71,45,D,26,34,1
Female,"5'4""",59,29,B,30,34,2
Male,"4'11""",54,48,,28,32,4
Female,"6'6""",116,32,D,39,43,4
Male,"5'1""",70,52,,30,39,1
Male,"6'0""",79,51,,35,42,2
Female,"6'3""",76,35,DD,27,36,1
Female,"5'6""",73,29,D,31,41,4
Female,"5'6""",53,37,A,28,29,4
Male,"4'10""",48,42,,28,33,2
Male,"5'9""",86,46,,44,46,0
Female,"5'5""",50,28,D,23,29,3
Female,"5'3""",47,42,E,32,38,2
Male,"4'11""",62,42,,29,29,3
Female,"5'5""",64,38,C,40,41,1
Male,"5'9""",57,44,,38,40,3
Female,"5'0""",59,30,A,39,40,0
Male,"5'2""",70,48,,27,34,0
Male,"5'3""",66,45,,47,47,0
Male,"5'3""",77,46,,41,41,2
Female,"5'1""",68,43,F,28,30,3
Female,"5'9""",85,33,A,24,30,4
Female,"5'2""",66,40,D,35,39,0
Male,"6'0""",63,30,,44,48,3
Male,"4'10""",46,38,,41,41,0
Male,"6'0""",83,32,,28,35,2
Male,"5'4""",64,33,,32,38,2
Female,"6'6""",100,36,A,22,29,3
Female,"6'4""",99,31,A,41,48,3
Male,"6'2""",84,33,,26,29,4
Male,"4'11""",48,30,,42,47,3
Female,"5'4""",66,46,DD,33,43,2
Male,"5'2""",62,50,,26,35,0
Male,"5'2""",69,31,,28,30,4
Female,"5'3""",62,41,D,30,37,1
Female,"5'7""",60,45,A,35,38,4
Male,"5'9""",66,37,,40,43,1
Female,"5'10""",94,39,D,33,37,3
Male,"5'8""",68,35,,43,46,0
Female,"6'1""",73,28,AA,41,48,4
Female,"5'8""",67,31,DD,25,35,2
Female,"6'6""",76,37,AA,26,36,2
Female,"5'3""",56,33,E,36,46,1
Female,"5'5""",58,44,A,34,34,3
Male,"5'1""",65,45,,43,49,4
Male,"5'5""",79,40,,40,44,4
Female,"6'2""",82,33,D,40,50,0
Male,"5'5""",64,42,,37,45,3
Female,"6'4""",78,42,D,41,47,4
Male,"6'5""",75,46,,36,45,4
Male,"6'0""",65,34,,33,39,4
Male,"5'3""",72,30,,35,43,0
Female,"4'11""",65,38,DD,37,40,0
